연번,동명,주소,구분,세부위치(건물명 또는 상호),박스수량
75,가락본동,서울특별시 송파구 중대로 121,공동주택,롯데캐슬파인힐아파트 관리사무소(지하4층 주차장),2
76,가락본동,서울특별시 송파구 송파대로28길 27,공동주택,송파성원쌍떼빌 지하,1
77,가락본동,서울특별시 송파구 송이로17길 10,공동주택,가락쌍용3차아파트 관리사무소(101동),1
78,거여1동,서울특별시 송파구 오금로53길 32,주민센터,거여1동주민센터,1
79,거여1동,서울특별시 송파구 오금로54길 10,공동주택,거여현대1차아파트 관리사무소(102-4앞),1
80,거여1동,서울특별시 송파구 거마로 41,공동주택,거여현대3차아파트 관리사무소(출구옆),2
81,거여1동,서울특별시 송파구 오금로56길 16,공동주택,우방아파트 관리사무소(101동옆초소),1
82,거여1동,서울특별시 송파구 오금로56길 28,공동주택,어울림아파트 관리사무소(101-3앞),1
83,거여1동,서울특별시 송파구 거마로9길 19,공동주택,삼호아파트관리사무소,1
84,거여2동,서울특별시 송파구 거마로2길 19,주민센터,거여2동주민센터,1
85,거여2동,서울특별시 송파구 양산로8길 8,공동주택,거여1단지아파트,3
86,거여2동,서울특별시 송파구 양산로8길 24,공동주택,거여2단지아파트,3
87,거여2동,서울특별시 송파구 양산로2길 44,공동주택,거여3단지아파트,1
88,거여2동,서울특별시 송파구 양산로4길 8,공동주택,거여4단지아파트,1
89,거여2동,서울특별시 송파구 양산로4길 16,공동주택,거여5단지아파트,1
90,거여2동,서울특별시 송파구 양산로2길 38,공동주택,거여6단지아파트,1
91,거여2동,서울특별시 송파구 오금로61길 20,공동주택,거여현대2차아파트,2
92,거여2동,서울특별시 송파구 오금로62길 10,공동주택,쌍용스윗닷홈거여1차아파트,1
93,거여2동,서울특별시 송파구 오금로551,공동주택,e편한세상송파파크센트럴아파트,5
94,거여2동,서울특별시 송파구 거마로 56,공동주택,송파시그니처롯데캐슬아파트,17
95,마천1동,서울특별시 송파구 마천로 303,주민센터,마천1동주민센터,1
96,마천1동,서울특별시 송파구 마천로65길 12,주택가,마천제일경로당(마천동324-2),1
97,마천1동,서울특별시 송파구 성내천로 264-1,주택가,옛고을(마천동200-19),1
98,마천1동,서울특별시 송파구 성내천로43길 6,주택가,마천제일공영주차장(마천동215),1
99,마천1동,서울특별시 송파구 마천로57길 16,공동주택,마천금호아파트 관리사무소(101동),1
100,마천1동,서울특별시 송파구 성내천로37길 37,공동주택, 마천1단지아파트 관리사무소(송파파크데일)집하장,7
101,마천1동,서울특별시 송파구 성내천로47길 38,공동주택, 마천2단지아파트 관리사무소(집하장),3
102,마천1동,서울특별시 송파구 성내천로 314,공동주택,금호어울림2차아파트 관리사무소,1
103,마천1동,서울특별시 성내천로47길 22,공동주택,파크데일3단지 관리사무소,1
104,마천2동,서울특별시 송파구 마천로 287,주민센터,마천2동주민센터,1
105,마천2동,서울특별시 송파구 성내천로33가길 21,주택가,충효사 입구,1
106,마천2동,서울특별시 송파구 성내천로 245 ,공동주택,금호어울림1차아파트,1
107,마천2동,서울특별시 송파구 마천로 237,공동주택,신동아아파트 관리사무소(102동앞),1
108,마천2동,서울특별시 송파구 성내천로 211,공동주택,마천우방아파트 관리사무소(입구),1
109,마천2동,서울특별시 송파구 마천로35길 18,공동주택,마천아남아파트 관리사무소(초소앞),1
110,마천2동,서울특별시 송파구 마천로35길 12,공동주택,건원여미지아파트 관리사무소,1
111,문정1동,서울특별시 송파구 동남로 160,공동주택,문정현대1차아파트 관리사무소(18동뒤),1
112,문정1동,서울특별시 송파구 송파대로16길 12,공동주택,문정현대2차아파트 관리사무소(입구),1
113,문정1동,서울특별시 송파구 송파대로20길 28,공동주택,한전현대아파트 관리사무소(입구),1
114,문정1동,서울특별시 송파구 문정로 55,공동주택,대우1차아파트 관리사무소(104동앞),1
115,문정1동,서울특별시 송파구 송이로32길 37,공동주택,대우푸르지오2차아파트 관리사무소(지하1층),1
116,문정1동,서울특별시 송파구 문정로 83,공동주택,삼성래미안아파트 관리사무소(117동앞),1
117,문정1동,서울특별시 송파구 송이로34길 26,공동주택,문정현대아파트 입구,1
118,문정1동,서울특별시 송파구 동남로 116,주민센터,문정1동주민센터,1
119,문정2동,서울특별시 송파구 중대로 24,공동주택,훼밀이타운아파트 108동  앞,1
120,문정2동,서울특별시 송파구 중대로 24,공동주택,훼밀리타운아파트 관리소 앞,1
121,문정2동,서울특별시 송파구 중대로 24,공동주택,훼밀리타운아파트 210동 앞,1
122,문정2동,서울특별시 송파구 중대로 24,공동주택,훼밀리타운아파트 304동 앞,1
123,문정2동,서울 송파구 송파대로 111,공동주택,101동 옆 재활용품 처리장,1
124,문정2동,서울 송파구 송파대로 111,공동주택,103동 옆 재활용품 처리장,1
125,문정2동,서울 송파구 송파대로 111,공동주택,105동 옆 재활용품 처리장,1
126,문정2동,서울 송파구 송파대로 111,공동주택,107동 옆 재활용품 처리장,1
127,문정2동,서울 송파구 송파대로 111,공동주택,109동 옆 재활용품 처리장,1
128,문정2동,서울특별시 송파구 중대로 16,주민센터,문정2동주민센터 뒷편 ,1
129,방이1동,서울특별시 송파구 위례성대로 16길 22,주민센터,방이1동 주민센터,1
130,방이1동,서울특별시 송파구 양재대로 1109,공동주택,"대림아파트 2동->4동 사이 담벼락, 6동앞, 정문옆",3
131,방이1동,서울특별시 송파구 오금로 31길 28,공동주택,"코오롱아파트 103동, 105동 관리사무소",2
132,방이1동,서울특별시 송파구 위례성대로12길 25,공동주택,신구아파트 101동 밑,1
133,방이1동,서울특별시 송파구 양재대로 1089,공동주택,한양3차 아파트 2동 앞,1
134,방이2동,서울특별시 송파구 위례성대로 8길 28,공동주택,금호아파트 1동->2동 사이 뒤,1
135,방이2동,올림픽로34길 5-13,주민센터,잠실 벨솔레 오피스텔 1층 입구,1
