연번,동명,주소,구분,세부위치(건물명 또는 상호),박스수량
199,위례동,서울특별시 송파구 위례광장로 121,공동주택,송파꿈에그린(24단지) 2416동 앞,1
200,위례동,서울특별시 송파구 위례광장로 121,공동주택,송파꿈에그린(24단지) 2418동 앞,1
201,위례동,서울특별시 송파구 위례광장로 121,공동주택,송파꿈에그린(24단지) 2420동 앞,1
202,위례동,서울특별시 송파구 위례광장로 136,공동주택,송파위례아이파크1차 101동 옆,1
203,위례동,서울특별시 송파구 위례광장로 136,공동주택,"송파위례아이파크1차 102동 3,4라인 앞",1
204,위례동,서울특별시 송파구 위례광장로 136,공동주택,"송파위례아이파크1차 103동 3,4라인 앞",1
205,위례동,서울특별시 송파구 위례광장로 136,공동주택,송파위례아이파크1차 105 옆,1
206,위례동,서울특별시 송파구 위례광장로 270,공동주택,송파와이즈더샵 101동 앞,1
207,위례동,서울특별시 송파구 위례광장로 270,공동주택,송파와이즈더샵 104동 앞,1
208,위례동,서울특별시 송파구 위례광장로 230,공동주택,위례2차아이파크 201동 앞,1
209,위례동,서울특별시 송파구 위례광장로 230,공동주택,위례2차아이파크 202동 앞,1
210,위례동,서울특별시 송파구 위례광장로 230,공동주택,위례2차아이파크 203동 앞,1
211,위례동,서울특별시 송파구 위례광장로 230,공동주택,위례2차아이파크 204동 앞,1
212,위례동,서울특별시 송파구 위례광장로 170,공동주택,힐스테이트 105동 앞,1
213,위례동,서울특별시 송파구 위례광장로 170,공동주택,힐스테이트 108동 앞,1
214,위례동,서울특별시 송파구 위례광장로 120,공동주택,위례중앙푸르지오1단지 경비실 뒤,1
215,위례동,서울특별시 송파구 위례광장로 290,공동주택,위례중앙푸르지오2단지 경비실 뒤,1
216,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2501동 앞,1
217,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2502동~2503동 사이,1
218,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2504동 앞,1
219,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2505동 앞,1
220,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2506동 앞,1
221,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2507동 앞,1
222,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2508동 앞,1
223,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2509동 앞,1
224,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2510동 앞,1
225,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2511동 앞,1
226,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2512동 앞,1
227,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2513동 앞,1
228,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2514동 앞,1
229,위례동,서울특별시 송파구 위례광장로 215,공동주택,위례스타힐스 2515동 앞,1
230,위례동,서울특별시 송파구 위례광장로 210,주민센터,위례동주민센터,1
231,잠실2동,서울특별시 송파구 올림픽로 135,공동주택,리센츠아파트 집하장,30
232,잠실3동,서울특별시 송파구 올림픽로 212,공동주택,갤러리아팰리스 지하1층종합집하장,1
233,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움1집하장,1
234,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움2집하장,1
235,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움3집하장,1
236,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움4집하장,1
237,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움5집하장,1
238,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움6집하장,1
239,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움7집하장,1
240,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움8집하장,1
241,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움9집하장,1
242,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움10집하장,1
243,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움11집하장,1
244,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움12집하장,1
245,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움13집하장,1
246,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움14집하장,1
247,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움15집하장,1
248,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움16집하장,1
249,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움17집하장,1
250,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움18집하장,1
251,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움19집하장,1
252,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움20집하장,1
253,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움21집하장,1
254,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움22집하장,1
255,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움23집하장,1
256,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움24집하장,1
257,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움25집하장,1
258,잠실3동,서울시 송파구 잠실로62,공동주택,3단지 트리지움 지하상가 집하장,1
259,잠실3동,서울시 송파구 잠실로62,공동주택,4단지 레이크팰리스 101동집하장,1
260,잠실3동,서울시 송파구 잠실로62,공동주택,4단지 레이크팰리스 111동집하장,1
261,잠실3동,서울시 송파구 잠실로62,공동주택,4단지 레이크팰리스 115동집하장,1
262,잠실3동,서울시 송파구 잠실로62,공동주택,4단지 레이크팰리스 119동집하장,1
263,잠실3동,서울시 송파구 잠실로62,공동주택,4단지 레이크팰리스 127동집하장,1
264,잠실3동,서울시 송파구 잠실로62,공동주택,4단지 레이크팰리스 133동집하장,1
265,잠실3동,서울시 송파구 잠실로62,공동주택,4단지 레이크팰리스 134동집하장,1
266,잠실3동,서울시 송파구 잠실로62,공동주택,5단지 관리사무소,2
267,잠실3동,서울시 송파구 잠실로62,공동주택,5단지 중앙상가,1
268,잠실3동,서울시 송파구 잠실로62,주민센터,5단지내 잠실3동주민센타,1
269,잠실4동,서울특별시 송파구 올림픽로 435,공동주택,파크리오아파트 관리사무소 1~16집하장,16
270,잠실6동,서울특별시 송파구 올림픽로35길 104,공동주택,장미1차아파트 관리사무소(충효정 옆),2
271,잠실6동,서울특별시 송파구 올림픽로35길 94,공동주택,장미2차아파트 관리사무소(23동 앞),1
272,잠실6동,서울특별시 송파구 올림픽로35길 94,공동주택,장미3차아파트 관리사무소(1동앞),1
273,잠실6동,서울특별시 송파구 올림픽로 269,공동주택,롯테캐슬골드아파트 관리사무소(102동 지하),2
274,잠실6동,서울특별시 송파구 올림픽로35가길 11,공동주택,한신잠실코아아파트 뒤쪽,1
