순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용
51,(KT)CPK 마들역점,폐휴대폰,수거함 설치,서울 노원구 동일로 1538 ,민팃ATM,무상
52,(KT)CPK 상계2호점,폐휴대폰,수거함 설치,서울 노원구 한글비석로20길 23-16 ,민팃ATM,무상
53,(KT)CPK 적선점,폐휴대폰,수거함 설치,서울 종로구 자하문로2길 4 ,민팃ATM,무상
54,(KT)CPK 홍대정문점,폐휴대폰,수거함 설치,서울 마포구 홍익로 10 ,민팃ATM,무상
55,(KT)CPK홍대클럽점,폐휴대폰,수거함 설치,서울 마포구 어울마당로 80 ,민팃ATM,무상
56,(KT)HJY마포역점,폐휴대폰,수거함 설치,서울 마포구 마포대로 33 ,민팃ATM,무상
57,(KT)M&S마두역직영점,폐휴대폰,수거함 설치,경기 고양시 일산동구 중앙로 1192 ,민팃ATM,무상
58,(KT)M&S신용산역직영점,폐휴대폰,수거함 설치,서울 용산구 한강대로 95 ,민팃ATM,무상
59,(KT)M&S화정역직영점,폐휴대폰,수거함 설치,경기 고양시 덕양구 화정로 65-1 ,민팃ATM,무상
60,(KT)경진텔레콤 센텀점,폐휴대폰,수거함 설치,부산 해운대구 센텀동로 9 ,민팃ATM,무상
61,(KT)나무 연산점,폐휴대폰,수거함 설치,부산 연제구 과정로 224 ,민팃ATM,무상
62,(KT)달콤컴퍼니 합성점,폐휴대폰,수거함 설치,경남 창원시 마산회원구 3·15대로 722 ,민팃ATM,무상
63,(KT)대세통신 중마점,폐휴대폰,수거함 설치,전남 광양시 공영로 70 ,민팃ATM,무상
64,(KT)더킹 광복점,폐휴대폰,수거함 설치,부산 중구 광복로 53-1 ,민팃ATM,무상
65,(KT)디액션 한성대점,폐휴대폰,수거함 설치,서울 성북구 동소문로 16 ,민팃ATM,무상
66,(KT)미래네트웍스 이토타워점,폐휴대폰,수거함 설치,인천 남동구 예술로 138 ,민팃ATM,무상
67,(KT)브로커뮤니케이션 신촌연세로점,폐휴대폰,수거함 설치,서울 서대문구 연세로 20 ,민팃ATM,무상
68,(KT)사직동 투자매장,폐휴대폰,수거함 설치,부산 연제구 아시아드대로 91 ,민팃ATM,무상
69,(KT)선광 못골점,폐휴대폰,수거함 설치,부산 남구 수영로 200-1 ,민팃ATM,무상
70,(KT)스마일쓰리 신도봉시장점,폐휴대폰,수거함 설치,서울 도봉구 도봉로153길 10 ,민팃ATM,무상
71,(KT)아이엠티월드 홍대놀이터점,폐휴대폰,수거함 설치,서울 마포구 와우산로21길 21 ,민팃ATM,무상
72,(KT)아이엠티월드 홍대서교점,폐휴대폰,수거함 설치,서울 마포구 와우산로27길 56 ,민팃ATM,무상
73,(KT)에스엠 하단점,폐휴대폰,수거함 설치,부산 사하구 낙동남로 1403 ,민팃ATM,무상
74,(KT)에스엠커뮤니케이션 쥬디스신관점,폐휴대폰,수거함 설치,부산 부산진구 서전로10번길 61 ,민팃ATM,무상
75,(KT)에이쓰리 운정산내점,폐휴대폰,수거함 설치,경기 파주시 책향기로 573 ,민팃ATM,무상
76,(KT)엠에이치컴퍼니 화정점,폐휴대폰,수거함 설치,울산 동구 대학길 133 ,민팃ATM,무상
77,(KT)엠엔케이 하단점,폐휴대폰,수거함 설치,부산 사하구 낙동남로 1403 ,민팃ATM,무상
78,(KT)제이씨앤 삼산점,폐휴대폰,수거함 설치,울산 남구 삼산중로74번길 6 ,민팃ATM,무상
79,(KT)지네이션 공업탑점,폐휴대폰,수거함 설치,울산 남구 삼산로 17 ,민팃ATM,무상
80,(KT)청라커낼웨이점,폐휴대폰,수거함 설치,인천 서구 청라라임로 57 ,민팃ATM,무상
81,(KT)케이컴퍼니 사직점,폐휴대폰,수거함 설치,부산 동래구 사직북로 4 ,민팃ATM,무상
82,(KT)펜타CA 혜화역점,폐휴대폰,수거함 설치,서울 종로구 대학로 129-2 ,민팃ATM,무상
83,(KT)피플팩토리 양정점,폐휴대폰,수거함 설치,부산 부산진구 양지로 1 ,민팃ATM,무상
84,(LGU+) 일상비일상의틈,폐휴대폰,수거함 설치,서울 강남구 강남대로 426 ,민팃ATM,무상
85,(LGU+)B LGDnF대리점중앙로점,폐휴대폰,수거함 설치,충북 옥천군 옥천읍 중앙로 50 ,민팃ATM,무상
86,(LGU+)B LGFORCE중랑우체국점,폐휴대폰,수거함 설치,서울 중랑구 망우로 277 ,민팃ATM,무상
87,(LGU+)B LGLS커뮤니티성일중고사거리점,폐휴대폰,수거함 설치,경기 성남시 중원구 원터로 114 ,민팃ATM,무상
88,(LGU+)B LGMJ커뮤니이마트사거리점,폐휴대폰,수거함 설치,충북 충주시 중앙로 3 ,민팃ATM,무상
89,(LGU+)B LGMJ커뮤니충주농협점,폐휴대폰,수거함 설치,충북 충주시 충인3길 1 ,민팃ATM,무상
90,(LGU+)B LGMJ커뮤니하나로마트점,폐휴대폰,수거함 설치,충북 증평군 증평읍 중앙로 190 ,민팃ATM,무상
91,(LGU+)B LGMTI대원사거리점,폐휴대폰,수거함 설치,경기 성남시 중원구 희망로 311 ,민팃ATM,무상
92,(LGU+)B LGNJ모바일삼척우체국점,폐휴대폰,수거함 설치,강원 삼척시 진주로 35 ,민팃ATM,무상
93,(LGU+)B LGNJ모바일태백우체국점,폐휴대폰,수거함 설치,강원 태백시 황지로 176 ,민팃ATM,무상
94,(LGU+)B LGSJ종합정보통신계산로점,폐휴대폰,수거함 설치,충북 영동군 영동읍 계산로 17-1 ,민팃ATM,무상
95,(LGU+)B LGSmart정보통신강진점,폐휴대폰,수거함 설치,전남 강진군 강진읍 보은로4길 30 ,민팃ATM,무상
96,(LGU+)B LGTOP텔레콤공릉시장점,폐휴대폰,수거함 설치,서울 노원구 동일로 1026 ,민팃ATM,무상
97,(LGU+)B LGTOP텔레콤옥정폴리프라자점,폐휴대폰,수거함 설치,경기 양주시 옥정동로7나길 15 ,민팃ATM,무상
98,(LGU+)B LGTT114평창중앙로,폐휴대폰,수거함 설치,강원 평창군 평창읍 백오로 86 ,민팃ATM,무상
99,(LGU+)B LGVIP플러스박애병원점,폐휴대폰,수거함 설치,경기 평택시 평택2로 27 ,민팃ATM,무상
