연번,유형,도로명주소,지번주소,위치 ,위도,경도,보유 수량
20,폐형광등·폐전지통합형,서울특별시 관악구 은천로15길 24,서울특별시 관악구 봉천동 1720,벽산블루밍 3차 601동,37.48780327,126.9443522,1
21,폐건전지함,서울특별시 관악구 은천로9길 20,서울특별시 관악구 봉천동 634-45,한울작은도서관,37.48708055,126.9409749,1
22,폐건전지함,서울특별시 관악구 봉천로33나길 30,서울특별시 관악구 봉천동 905-29,은천동주민센터 주차장,37.48530456,126.9424095,1
23,폐형광등·폐전지통합형,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 관리사무소 옆,37.48939185,126.9554433,1
24,폐형광등·폐전지통합형,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 110동,37.48939185,126.9554433,1
25,폐형광등·폐전지통합형,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 115동,37.48984744,126.9529855,1
26,폐형광등·폐전지통합형,서울특별시 관악구 은천로33길 5,서울특별시 관악구 봉천동 1719,동부센트레빌아파트 106동 지하입구,37.48730012,126.9501559,1
28,폐형광등·폐전지통합형,서울특별시 관악구 구암길 38,서울특별시 관악구 봉천동 1712-9,성현동 주민센터 옆,37.48952989,126.9481596,1
29,폐형광등·폐전지통합형,서울특별시 관악구 관악로 255-7,서울특별시 관악구 봉천동 1703-6,자치회관 후문,37.48721429,126.9566329,1
30,폐형광등·폐전지통합형,서울특별시 관악구 은천로33길 5,서울특별시 관악구 봉천동 1719,관악동부센트레빌아파트 103동 옆,37.48730012,126.9501559,1
31,폐형광등·폐전지통합형,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 101동,37.48939185,126.9554433,1
32,폐형광등·폐전지통합형,서울특별시 관악구 구암길 106,서울특별시 관악구 봉천동 1712-1,관악드림타운 145동,37.49127941,126.9486646,1
33,폐형광등·폐전지통합형,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 144동,37.48984744,126.9529855,1
34,폐형광등·폐전지통합형,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 121동,37.48984744,126.9529855,1
35,폐형광등·폐전지통합형,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 105동,37.48984744,126.9529855,1
36,폐형광등·폐전지통합형,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 102동,37.48984744,126.9529855,1
37,폐형광등·폐전지통합형,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 105동,37.48939185,126.9554433,1
38,폐형광등·폐전지통합형,서울특별시 관악구 관악로37길 15,서울특별시 관악구 봉천동 7-312,"동아타운 21, CU편의점 후문",37.48895251,126.9571201,1
39,폐형광등·폐전지통합형,서울특별시 관악구 관악로37길 20,서울특별시 관악구 봉천동 1703-1,봉천동아아파트 201동 앞,37.48755544,126.9559885,1
40,폐형광등·폐전지통합형,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,봉천동아아파트 109동,37.48939185,126.9554433,1
41,폐형광등·폐전지통합형,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 123동,37.48984744,126.9529855,1
42,폐형광등·폐전지통합형,서울특별시 관악구 은천로 25,서울특별시 관악구 봉천동 952-20,관악드림타운 상가 앞,37.48642557,126.9382512,1
43,폐형광등·폐전지통합형,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 상가,37.48939185,126.9554433,1
44,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 123동,37.48984744,126.9529855,1
45,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,,37.48984744,126.9529855,1
46,폐건전지함,서울특별시 관악구 구암길 106,서울특별시 관악구 봉천동 1712-1,관악드림타운 149동,37.49127941,126.9486646,1
47,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 139동 및 140동 사이,37.48984744,126.9529855,1
48,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 127동,37.48984744,126.9529855,1
49,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 126동,37.48984744,126.9529855,1
50,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운경로당 뒤편,37.48984744,126.9529855,1
51,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 106동,37.48984744,126.9529855,1
52,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 101동,37.48984744,126.9529855,1
53,폐건전지함,서울특별시 관악구 은천로33길 5,서울특별시 관악구 봉천동 1719,관악 동부 센트레빌 102동 담벼락 방향,37.48730012,126.9501559,1
54,폐건전지함,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 관리사무소,37.48939185,126.9554433,1
55,폐건전지함,서울특별시 관악구 관악로37길 20,서울특별시 관악구 봉천동 1703-1,봉천동아아파트 경로당 뒤편,37.48755544,126.9559885,1
56,폐건전지함,서울특별시 관악구 은천로 137,서울특별시 관악구 봉천동 1727,관악 한일유액아이아파트 관리사무소 앞,37.4867979,126.9505824,1
57,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 148동,37.48984744,126.9529855,1
58,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 113동,37.48984744,126.9529855,1
59,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 136동,37.48984744,126.9529855,1
60,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 142동,37.48984744,126.9529855,1
61,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 117동,37.48984744,126.9529855,1
62,폐건전지함,서울특별시 관악구 성현로 80,서울특별시 관악구 봉천동 1712,관악드림타운 107동,37.48984744,126.9529855,1
63,폐건전지함,서울특별시 관악구 관악로 285,서울특별시 관악구 봉천동 1703,성현동아아파트 108동 지하계단,37.48939185,126.9554433,1
64,폐건전지함,서울특별시 관악구 관악로 263,서울특별시 관악구 봉천동 1721,관악브라운스톤 지하주차장,37.48819391,126.957247,1
65,폐건전지함,서울특별시 관악구 관악로 255-7,서울특별시 관악구 봉천동 1703-6,자치회관 입구,37.48721429,126.9566329,1
66,폐건전지함,서울특별시 관악구 구암길 106,서울특별시 관악구 봉천동 1712-1,관악드림타운 145동,37.49127941,126.9486646,1
67,폐형광등·폐전지통합형,서울특별시 관악구 양녕로6나길 18,서울특별시 관악구 봉천동 1705,신봉아파트 정문 왼쪽,37.48455395,126.9489277,1
68,폐형광등·폐전지통합형,서울특별시 관악구 은천로34길 24,서울특별시 관악구 봉천동 41-265,에메랄드아파트 주변,37.48554461,126.9534938,1
